,id,accurate_back_zone_pass,accurate_chipped_pass,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_pull_back,accurate_through_ball,accurate_throws,aerial_lost,aerial_won,appearances,assist_blocked_shot,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,attempts_obox,att_assist_openplay,att_bx_centre,att_bx_left,att_bx_right,att_cmiss_high,att_cmiss_right,att_fastbreak,att_goal_high_left,att_goal_low_right,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_post,att_ibox_target,att_lf_total,att_miss_high,att_miss_high_left,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_miss,att_obox_target,att_obx_centre,att_openplay,att_post_high,att_rf_goal,att_rf_target,att_rf_total,att_setpiece,att_sv_high_centre,att_sv_high_right,att_sv_low_centre,att_sv_low_left,att_sv_low_right,backward_pass,ball_recovery,big_chance_created,big_chance_missed,big_chance_scored,blocked_cross,blocked_pass,blocked_scoring_att,challenge_lost,clean_sheet,clearance_off_line,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_blocked_cross,effective_clearance,effective_head_clearance,error_lead_to_goal,error_lead_to_shot,final_third_entries,fouled_final_third,fouls,foul_throw_in,fwd_pass,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goals_openplay,goal_assist,goal_assist_intentional,goal_assist_openplay,hand_ball,head_clearance,head_pass,hit_woodwork,interception,interceptions_in_box,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offside_provoked,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,overrun,passes_left,passes_right,penalty_conceded,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,post_scoring_att,put_through,rightside_pass,second_goal_assist,shield_ball_oop,shot_fastbreak,shot_off_target,successful_final_third_passes,successful_open_play_pass,successful_put_through,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_distance_in_m,total_fastbreak,total_final_third_passes,total_flick_on,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_pull_back,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,total_throws,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,wins,won_contest,won_corners,won_tackle,yellow_card,assist_pass_lost,last_man_tackle,att_cmiss_high_left,att_goal_low_left,att_hd_goal,att_hd_miss,att_hd_target,att_hd_total,att_lf_target,att_sv_high_left,goal_assist_setplay,six_yard_block,att_assist_setplay,att_lf_goal,att_post_left,accurate_corners_intobox,accurate_freekick_cross,assist_penalty_won,att_cmiss_left,att_freekick_target,att_freekick_total,att_goal_high_centre,att_goal_high_right,att_goal_low_centre,att_one_on_one,corner_taken,freekick_cross,goal_assist_deadball,penalty_won,total_corners_intobox,assist_attempt_saved,att_freekick_miss,att_obox_goal,att_obox_post,att_pen_goal,att_post_right,att_pen_target,accurate_goal_kicks,assist_free_kick_won,goal_kicks,red_card,att_lg_centre,accurate_keeper_throws,dive_catch,dive_save,diving_save,good_high_claim,keeper_pick_up,keeper_throws,punches,saved_ibox,saved_obox,saves,stand_catch,total_high_claim,second_yellow,own_goals,att_cmiss_high_right,att_hd_post,att_obxd_left,att_obx_left,att_freekick_goal,att_obp_goal,dangerous_play,goal_fastbreak,accurate_keeper_sweeper,cross_not_claimed,gk_smother,penalty_faced,penalty_save,stand_save,total_keeper_sweeper,assist_own_goal,att_pen_miss,att_freekick_post,att_obxd_right,assist_handball_won,att_obx_right,att_lg_right,att_pen_post,att_corner,assist_post,att_lg_left,rescinded_red_card,age,birth,birth_exact,country,isoCode,loan,position,positionInfo,shirtNum,name,first,last,nationalTeam,playerId,season
0,4985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28 years 41 days,4 March 1992,699667200000.0,Germany,DE,False,G,Goalkeeper,1.0,Bernd Leno,Bernd,Leno,Germany,129845.0,2017
1,4474.0,651.0,44.0,10.0,10.0,3.0,922.0,2.0,17.0,33.0,1563.0,3.0,1.0,260.0,59.0,35.0,35.0,1.0,21.0,241.0,127.0,22.0,7.0,29.0,5.0,1.0,14.0,1.0,1.0,2.0,1.0,1.0,8.0,2.0,7.0,1.0,4.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,7.0,26.0,1.0,2.0,6.0,24.0,2.0,1.0,1.0,3.0,1.0,0.0,385.0,175.0,8.0,3.0,1.0,18.0,94.0,10.0,27.0,12.0,2.0,56.0,8.0,31.0,6.0,170.0,124.0,18.0,71.0,36.0,1.0,3.0,128.0,3.0,36.0,1.0,463.0,34.0,2.0,44.0,42.0,2.0,2.0,3.0,3.0,3.0,2.0,36.0,111.0,1.0,23.0,2.0,23.0,854.0,116.0,74.0,11.0,20.0,3051.0,3.0,11.0,21.0,8.0,1838.0,8.0,9.0,39.0,490.0,2.0,114.0,4.0,462.0,462.0,10.0,102.0,63.0,1.0,94.0,140.0,1.0,2.0,2.0,11.0,489.0,1559.0,33.0,33.0,739.0,93.0,71.0,46.0,64.0,64.0,387271.09716796875,2.0,627.0,5.0,1167.0,20.0,19.0,74.0,4.0,1842.0,13.0,29.0,1.0,1.0,57.0,7.0,281.0,2606.0,106.0,40.0,40.0,7.0,18.0,25.0,30.0,43.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 years 26 days,19 March 1995,795571200000.0,Spain,ES,True,D,Defender,3.0,Héctor Bellerín,Héctor,Bellerín,Spain,13589.0,2017
2,5093.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31 years 310 days,9 June 1988,581817600000.0,Greece,GR,False,D,Centre Central Defender,5.0,Sokratis,Sokratis,Papastathopoulos,Greece,130671.0,2017
3,11575.0,332.0,20.0,,,,178.0,,,30.0,510.0,,,7.0,20.0,28.0,12.0,,6.0,87.0,44.0,1.0,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,26.0,67.0,,,,1.0,11.0,1.0,8.0,3.0,,,,6.0,1.0,46.0,56.0,1.0,39.0,18.0,,2.0,56.0,,9.0,,225.0,9.0,,17.0,17.0,,,,,,,18.0,52.0,,21.0,2.0,21.0,191.0,92.0,61.0,5.0,6.0,820.0,7.0,1.0,1.0,,593.0,10.0,2.0,66.0,57.0,,6.0,2.0,113.0,113.0,1.0,38.0,28.0,,11.0,161.0,,,,,47.0,503.0,6.0,2.0,372.0,32.0,39.0,8.0,,,92862.79992675781,,73.0,1.0,231.0,18.0,,64.0,,603.0,,1.0,1.0,3.0,19.0,1.0,7.0,748.0,4.0,7.0,7.0,5.0,6.0,5.0,1.0,14.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 years 207 days,20 September 1995,811555200000.0,England,GB-ENG,False,D,Centre Central Defender,16.0,Rob Holding,Rob,Holding,England,31013.0,2017
4,3869.0,960.0,35.0,3.0,3.0,3.0,537.0,6.0,1.0,73.0,1494.0,,,3.0,74.0,122.0,27.0,,17.0,198.0,104.0,11.0,2.0,6.0,5.0,2.0,,,,,1.0,,1.0,3.0,4.0,,3.0,1.0,3.0,1.0,,,0.0,2.0,0.0,,2.0,1.0,,1.0,1.0,6.0,4.0,,,1.0,,1.0,80.0,158.0,3.0,,1.0,4.0,19.0,3.0,26.0,9.0,0.0,9.0,3.0,4.0,4.0,129.0,198.0,4.0,171.0,112.0,2.0,,170.0,,26.0,,639.0,25.0,3.0,30.0,29.0,1.0,,1.0,1.0,,1.0,112.0,188.0,,57.0,3.0,57.0,543.0,361.0,254.0,9.0,27.0,2274.0,18.0,3.0,4.0,6.0,1697.0,15.0,,76.0,221.0,,34.0,3.0,268.0,268.0,1.0,97.0,60.0,,19.0,472.0,1.0,1.0,,4.0,142.0,1459.0,8.0,7.0,1045.0,75.0,171.0,2.0,12.0,12.0,246171.2110595703,,221.0,5.0,701.0,74.0,2.0,174.0,2.0,1734.0,,13.0,2.0,2.0,64.0,5.0,3.0,2129.0,25.0,8.0,8.0,12.0,14.0,1.0,7.0,46.0,6.0,,1.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27 years 363 days,17 April 1992,703468800000.0,Germany,DE,False,D,Centre/Right Central Defender,20.0,Shkodran Mustafi,Shkodran,Mustafi,Germany,34877.0,2017
5,5368.0,405.0,33.0,6.0,6.0,1.0,617.0,4.0,11.0,25.0,1016.0,2.0,,181.0,32.0,47.0,27.0,,18.0,166.0,88.0,19.0,2.0,14.0,6.0,8.0,2.0,1.0,,,,2.0,7.0,2.0,6.0,1.0,3.0,13.0,1.0,,1.0,2.0,2.0,,,2.0,2.0,13.0,,,,2.0,1.0,,,2.0,2.0,1.0,232.0,134.0,6.0,3.0,,3.0,50.0,7.0,19.0,9.0,,34.0,8.0,16.0,3.0,107.0,118.0,3.0,53.0,27.0,,,131.0,3.0,32.0,,411.0,25.0,2.0,30.0,29.0,1.0,2.0,4.0,3.0,4.0,2.0,27.0,99.0,1.0,26.0,1.0,26.0,50.0,123.0,79.0,8.0,8.0,2152.0,5.0,6.0,13.0,7.0,1252.0,3.0,3.0,404.0,5.0,,54.0,3.0,363.0,363.0,5.0,68.0,61.0,1.0,50.0,575.0,,3.0,,7.0,316.0,1001.0,12.0,19.0,481.0,64.0,53.0,22.0,42.0,42.0,257488.9259033203,,438.0,15.0,829.0,30.0,11.0,67.0,1.0,1268.0,8.0,21.0,6.0,2.0,49.0,,203.0,1780.0,92.0,22.0,22.0,10.0,16.0,12.0,19.0,37.0,3.0,,,,,,3.0,2.0,5.0,3.0,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26 years 299 days,20 June 1993,740534400000.0,Germany,DE,False,D,Left Full Back,,Sead Kolasinac,Sead,Kolasinac,Bosnia And Herzegovina,44026.0,2017
6,4714.0,334.0,54.0,25.0,8.0,6.0,1255.0,,67.0,57.0,1564.0,1.0,9.0,15.0,12.0,1.0,26.0,,12.0,180.0,76.0,23.0,16.0,66.0,13.0,4.0,4.0,,3.0,,,1.0,6.0,4.0,8.0,,5.0,35.0,1.0,2.0,,3.0,6.0,7.0,4.0,5.0,16.0,32.0,,,1.0,3.0,,,1.0,7.0,2.0,0.0,264.0,100.0,13.0,4.0,3.0,4.0,53.0,13.0,17.0,6.0,,18.0,6.0,32.0,4.0,92.0,79.0,4.0,5.0,2.0,0.0,,224.0,6.0,18.0,,519.0,24.0,4.0,36.0,34.0,2.0,4.0,8.0,7.0,6.0,2.0,2.0,14.0,0.0,12.0,1.0,12.0,527.0,80.0,67.0,9.0,2.0,2164.0,,25.0,59.0,14.0,1770.0,1.0,1.0,279.0,239.0,,223.0,3.0,419.0,419.0,15.0,36.0,49.0,,53.0,499.0,1.0,,,12.0,845.0,1531.0,10.0,84.0,368.0,101.0,5.0,51.0,98.0,34.0,250282.79235839844,,1021.0,16.0,1539.0,,69.0,71.0,12.0,1809.0,5.0,39.0,3.0,2.0,20.0,18.0,16.0,2195.0,95.0,42.0,42.0,22.0,13.0,36.0,18.0,13.0,4.0,,,,,1.0,,,1.0,9.0,,2.0,0.0,10.0,3.0,,17.0,5.0,1.0,1.0,2.0,6.0,2.0,0.0,1.0,3.0,76.0,10.0,2.0,1.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31 years 182 days,15 October 1988,592876800000.0,Germany,DE,False,M,Centre/Right Attacking Midfielder,10.0,Mesut Özil,Mesut,Özil,Germany,6577.0,2017
7,23033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 years 63 days,11 February 1996,823996800000.0,Uruguay,UY,False,M,Centre Central Midfielder,11.0,Lucas Torreira,Lucas,Torreira,Uruguay,131752.0,2017
8,10428.0,222.0,21.0,5.0,5.0,,240.0,2.0,1.0,22.0,457.0,1.0,,68.0,14.0,6.0,15.0,,8.0,85.0,51.0,2.0,3.0,8.0,2.0,,,,1.0,,,,1.0,,,1.0,,1.0,,,,2.0,1.0,,3.0,,3.0,4.0,1.0,,,4.0,,,,,,,68.0,73.0,1.0,,,13.0,32.0,1.0,17.0,3.0,,16.0,4.0,14.0,4.0,59.0,56.0,13.0,22.0,8.0,,2.0,46.0,,10.0,,157.0,8.0,,16.0,15.0,1.0,,,,,1.0,8.0,19.0,1.0,12.0,1.0,12.0,99.0,38.0,23.0,4.0,16.0,908.0,2.0,2.0,6.0,,530.0,1.0,2.0,94.0,40.0,1.0,29.0,3.0,149.0,149.0,1.0,43.0,29.0,1.0,32.0,212.0,,1.0,,4.0,133.0,451.0,14.0,8.0,253.0,31.0,22.0,25.0,20.0,20.0,110360.50923919678,,161.0,1.0,303.0,13.0,1.0,39.0,,536.0,1.0,5.0,,7.0,25.0,,81.0,810.0,23.0,18.0,18.0,5.0,7.0,20.0,5.0,17.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 years 229 days,29 August 1997,872812800000.0,England,GB-ENG,True,M,Right Winger,7.0,Ainsley Maitland-Niles,Ainsley,Maitland-Niles,England,19415.0,2017
9,50512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 years,14 April 1999,924048000000.0,France,FR,False,M,Centre Central Midfielder,29.0,Matteo Guendouzi,Matteo,Guendouzi,France,131780.0,2017
